"","Name","Year","file","Organization_type","Size","Sector","Sec_SASB","Country","Region","OECD","english_non_english"
"1310","Grünplan",2010,"Grünplan_2010",NA,"SME","Other","Other","Austria","Europe",NA,"non-english"
"1311","Grup Morera",2010,"GrupMorera_2010",NA,"SME","Commercial Services","Financials","Spain","Europe",NA,"non-english"
"1312","Grupo ACS",2010,"GrupoACS_2010",NA,"Large","Construction","Infrastructure","Spain","Europe",NA,"non-english"
"1313","Grupo Algar",2010,"GrupoAlgar_2010",NA,"Large","Other","Other","Brazil","Latin America & the Caribbean",NA,"non-english"
"1314","Grupo Bancolombia",2010,"GrupoBancolombia_2010",NA,"MNE","Financial Services","Financials","Colombia","Latin America & the Caribbean",NA,"non-english"
"1315","Grupo Clarín",2010,"GrupoClarín_2010",NA,"Large","Media","Technology and Communications","Argentina","Latin America & the Caribbean",NA,"english"
"1316","Grupo Nación",2010,"GrupoNación_2010",NA,"Large","Media","Technology and Communications","Costa Rica","Latin America & the Caribbean",NA,"non-english"
"1317","Grupo Visabeira",2010,"GrupoVisabeira_2010",NA,"MNE","Conglomerates","Conglomerates","Portugal","Europe",NA,"non-english"
"1318","Gruppo Falck",2010,"GruppoFalck_2010",NA,"Large","Energy","Extractives and Minerals Processing","Italy","Europe",NA,"english"
"1319","Guangshen Railway Company",2010,"GuangshenRailwayCompany_2010",NA,"SME","Railroad","Infrastructure","Mainland China","Asia",NA,"english"
"1320","Guangxi Yuchai Machinery Group Co., Ltd.",2010,"GuangxiYuchaiMachineryGroupCo.,Ltd._2010",NA,"Large","Other","Other","Mainland China","Asia",NA,"non-english"
"1321","gugler",2010,"gugler_2010",NA,"SME","Media","Technology and Communications","Austria","Europe",NA,"non-english"
"1322","HAESL (Hong Kong Aero Engines Services Limited)",2010,"HAESL(HongKongAeroEnginesServicesLimited)_2010",NA,"Large","Aviation","Transportation","Hong Kong","Asia",NA,"english"
"1323","Halfords Group PLC",2010,"HalfordsGroupPLC_2010",NA,"Large","Retailers","Consumer Goods","United Kingdom of Great Britain and Northern Ireland","Europe",NA,"non-english"
"1324","Happinet",2010,"Happinet_2010",NA,"MNE","Toys","Consumer Goods","Japan","Asia",NA,"non-english"
"1325","Heidelberger Druckmaschinen",2010,"HeidelbergerDruckmaschinen_2010",NA,"Large","Equipment","Resource Transformation","Germany","Europe",NA,"non-english"
"1326","Henkel",2010,"Henkel_2010",NA,"MNE","Household and Personal Products","Consumer Goods","Germany","Europe",NA,"english"
"1327","HERA HOLDING",2010,"HERAHOLDING_2010",NA,"Large","Waste Management","Infrastructure","Spain","Europe",NA,"non-english"
